dataset,model,original_features,final_features,synthesis_performed,selection_performed,feature_reduction_ratio,enhancement_time_seconds,baseline_r2,baseline_mae,baseline_mse,baseline_rmse,baseline_train_time,baseline_predict_time,baseline_success,baseline_error,enhanced_r2,enhanced_mae,enhanced_mse,enhanced_rmse,enhanced_train_time,enhanced_predict_time,enhanced_success,enhanced_error,mae_improvement_pct,mae_absolute_improvement,r2_improvement,n_samples,train_samples,test_samples,target_type
California,Linear,8,11,True,True,-0.375,23.678129196166992,0.5757877060324513,0.5332001304956554,0.5558915986952436,0.7455813830127759,0.010545015335083008,0.0004677772521972656,True,,0.6839490634496401,0.4652407096060464,0.4141559848370364,0.6435495201125058,0.0012390613555908203,4.100799560546875e-05,True,,12.745574691895678,0.06795942088960899,0.1081613574171888,20640,16512,4128,float64
California,Ridge,8,11,True,True,-0.375,23.678129196166992,0.5758549611440126,0.5332039182571154,0.5558034669932211,0.7455222779992702,0.0008378028869628906,0.0003571510314941406,True,,0.6837794709797702,0.465169607496747,0.4143782203321962,0.6437221608211078,0.0007221698760986328,3.790855407714844e-05,True,,12.759529409077167,0.06803431076036842,0.10792450983575763,20640,16512,4128,float64
California,RandomForest,8,11,True,True,-0.375,23.678129196166992,0.8048502475905297,0.3275993549176358,0.2557259876588585,0.5056935709091609,1.3731119632720947,0.02480006217956543,True,,0.8211618440756387,0.3128403948158916,0.23435112517532886,0.48409825983505544,2.0882198810577393,0.023116111755371094,True,,4.505185947467714,0.014758960101744212,0.016311596485109048,20640,16512,4128,float64
California,KNN,8,11,True,True,-0.375,23.678129196166992,0.15538785394268484,0.8162896218507751,1.1067873393248198,1.052039609199587,0.005220890045166016,0.014474153518676758,True,,0.7118322802587531,0.41251990188953486,0.37761756718813727,0.6145059537450693,0.0036132335662841797,0.05276989936828613,True,,49.46402712382553,0.4037697199612403,0.5564444263160683,20640,16512,4128,float64
California,DecisionTree,8,11,True,True,-0.375,23.678129196166992,0.6186632145457622,0.4557622892441861,0.4997071473927568,0.7068996727915191,0.09589791297912598,0.0011801719665527344,True,,0.6333574706231789,0.4352174370155039,0.48045166230033914,0.693146205573066,0.14483404159545898,0.0006740093231201172,True,,4.507799946053625,0.020544852228682187,0.0146942560774167,20640,16512,4128,float64
California,MLP,8,11,True,True,-0.375,23.678129196166992,0.4015860013406545,0.7096383573625961,0.784167076548244,0.885532086684748,0.583043098449707,0.0015521049499511719,True,,0.7949582840013659,0.3524766981946106,0.26868850555853085,0.5183517199339951,7.488984823226929,0.0007920265197753906,True,,50.33009496490486,0.3571616591679855,0.39337228266071145,20640,16512,4128,float64
California,SVR,8,11,True,True,-0.375,23.678129196166992,-0.016485360107176605,0.8599506583445771,1.3320115421348784,1.154128044081279,3.2133381366729736,1.5640151500701904,True,,0.7606581101265133,0.3692715322883862,0.31363576135936155,0.5600319288749183,2.883071184158325,1.4785609245300293,True,,57.05898603540328,0.49067912605619085,0.7771434702336899,20640,16512,4128,float64
Diabetes,Linear,10,13,True,True,-0.30000000000000004,12.565513134002686,0.45260276297191915,42.79409467959995,2900.193628493483,53.85344583676594,0.0006289482116699219,0.00031304359436035156,True,,0.5271854514077055,39.978747022099405,2505.0432273483525,50.05040686496317,0.00019621849060058594,2.2649765014648438e-05,True,,6.578822799218203,2.8153476575005456,0.0745826884357863,442,353,89,float64
Diabetes,Ridge,10,13,True,True,-0.30000000000000004,12.565513134002686,0.41915292635986545,46.13885766697452,3077.41593882723,55.47446204180109,0.0005571842193603516,0.0003008842468261719,True,,0.5281686683238036,39.95795852154723,2499.8339949251567,49.99833992169297,0.00019407272338867188,2.7894973754882812e-05,True,,13.396298603750395,6.18089914542729,0.10901574196393815,442,353,89,float64
Diabetes,RandomForest,10,13,True,True,-0.30000000000000004,12.565513134002686,0.4428225673999313,44.053033707865175,2952.0105887640448,54.332408273184846,0.050836801528930664,0.014095783233642578,True,,0.4791730485318584,43.00438202247191,2759.4202235955054,52.53018392881854,0.04611492156982422,0.013662099838256836,True,,2.3804301250790862,1.048651685393267,0.03635048113192707,442,353,89,float64
